count,age,office
168,0,Alexandria
24,0,"Camp Nelson"
2,3,"Camp Nelson"
1,4,"Camp Nelson"
3,5,"Camp Nelson"
1,6,"Camp Nelson"
1,8,"Camp Nelson"
1,9,"Camp Nelson"
1,10,"Camp Nelson"
2,12,"Camp Nelson"
9,13,"Camp Nelson"
9,14,"Camp Nelson"
14,15,"Camp Nelson"
6,16,"Camp Nelson"
3,17,"Camp Nelson"
5,18,"Camp Nelson"
1,19,"Camp Nelson"
1,21,"Camp Nelson"
3,22,"Camp Nelson"
1,23,"Camp Nelson"
2,25,"Camp Nelson"
2,27,"Camp Nelson"
1,28,"Camp Nelson"
1,30,"Camp Nelson"
1,36,"Camp Nelson"
2,37,"Camp Nelson"
1,38,"Camp Nelson"
1,40,"Camp Nelson"
1,43,"Camp Nelson"
3,45,"Camp Nelson"
1,46,"Camp Nelson"
2,57,"Camp Nelson"
29,0,Chattanooga
1,2,Chattanooga
1,4,Chattanooga
1,5,Chattanooga
1,7,Chattanooga
2,8,Chattanooga
2,9,Chattanooga
5,10,Chattanooga
2,11,Chattanooga
8,12,Chattanooga
3,13,Chattanooga
5,14,Chattanooga
13,15,Chattanooga
15,16,Chattanooga
13,17,Chattanooga
32,18,Chattanooga
21,19,Chattanooga
29,20,Chattanooga
41,21,Chattanooga
38,22,Chattanooga
30,23,Chattanooga
23,24,Chattanooga
21,25,Chattanooga
10,26,Chattanooga
14,27,Chattanooga
13,28,Chattanooga
4,29,Chattanooga
12,30,Chattanooga
2,31,Chattanooga
1,32,Chattanooga
2,33,Chattanooga
11,35,Chattanooga
2,36,Chattanooga
10,40,Chattanooga
1,41,Chattanooga
1,45,Chattanooga
2,50,Chattanooga
2,55,Chattanooga
1,56,Chattanooga
1,58,Chattanooga
1,64,Chattanooga
1,70,Chattanooga
69,0,Louisville
1,5,Louisville
1,9,Louisville
1,11,Louisville
4,12,Louisville
3,13,Louisville
4,14,Louisville
3,15,Louisville
5,16,Louisville
1,17,Louisville
2,18,Louisville
4,19,Louisville
3,20,Louisville
4,21,Louisville
3,22,Louisville
1,23,Louisville
4,24,Louisville
4,25,Louisville
1,26,Louisville
2,28,Louisville
1,43,Louisville
1,45,Louisville
1,46,Louisville
1,48,Louisville
1,55,Louisville
82,0,Memphis
2,1,Memphis
1,2,Memphis
7,3,Memphis
4,4,Memphis
2,5,Memphis
6,6,Memphis
2,7,Memphis
9,8,Memphis
4,9,Memphis
9,10,Memphis
6,11,Memphis
13,12,Memphis
7,13,Memphis
23,14,Memphis
20,15,Memphis
13,16,Memphis
12,17,Memphis
18,18,Memphis
15,19,Memphis
15,20,Memphis
18,21,Memphis
12,22,Memphis
10,23,Memphis
4,24,Memphis
19,25,Memphis
3,26,Memphis
4,27,Memphis
3,28,Memphis
1,29,Memphis
17,30,Memphis
4,31,Memphis
4,32,Memphis
7,33,Memphis
1,34,Memphis
7,35,Memphis
1,36,Memphis
1,37,Memphis
3,38,Memphis
2,39,Memphis
7,40,Memphis
1,41,Memphis
1,42,Memphis
1,43,Memphis
2,44,Memphis
5,45,Memphis
1,46,Memphis
1,47,Memphis
1,48,Memphis
4,50,Memphis
2,52,Memphis
1,53,Memphis
2,54,Memphis
1,57,Memphis
3,60,Memphis
1,80,Memphis
129,0,Petersburg
9,0,"Wisewell Barracks"
2,1,"Wisewell Barracks"
2,2,"Wisewell Barracks"
3,3,"Wisewell Barracks"
4,4,"Wisewell Barracks"
5,5,"Wisewell Barracks"
6,6,"Wisewell Barracks"
4,7,"Wisewell Barracks"
14,8,"Wisewell Barracks"
6,9,"Wisewell Barracks"
16,10,"Wisewell Barracks"
3,11,"Wisewell Barracks"
14,12,"Wisewell Barracks"
10,13,"Wisewell Barracks"
15,14,"Wisewell Barracks"
11,15,"Wisewell Barracks"
22,16,"Wisewell Barracks"
23,17,"Wisewell Barracks"
57,18,"Wisewell Barracks"
44,19,"Wisewell Barracks"
63,20,"Wisewell Barracks"
52,21,"Wisewell Barracks"
37,22,"Wisewell Barracks"
28,23,"Wisewell Barracks"
28,24,"Wisewell Barracks"
43,25,"Wisewell Barracks"
37,26,"Wisewell Barracks"
17,27,"Wisewell Barracks"
39,28,"Wisewell Barracks"
14,29,"Wisewell Barracks"
49,30,"Wisewell Barracks"
8,31,"Wisewell Barracks"
2,32,"Wisewell Barracks"
7,33,"Wisewell Barracks"
4,34,"Wisewell Barracks"
13,35,"Wisewell Barracks"
13,36,"Wisewell Barracks"
4,37,"Wisewell Barracks"
9,38,"Wisewell Barracks"
6,39,"Wisewell Barracks"
10,40,"Wisewell Barracks"
2,41,"Wisewell Barracks"
1,42,"Wisewell Barracks"
3,43,"Wisewell Barracks"
3,44,"Wisewell Barracks"
8,45,"Wisewell Barracks"
2,46,"Wisewell Barracks"
3,47,"Wisewell Barracks"
2,48,"Wisewell Barracks"
1,49,"Wisewell Barracks"
11,50,"Wisewell Barracks"
1,52,"Wisewell Barracks"
1,55,"Wisewell Barracks"
2,56,"Wisewell Barracks"
1,58,"Wisewell Barracks"
1,60,"Wisewell Barracks"
1,67,"Wisewell Barracks"
